n,x,y,z,steps,solved,run_id
50009,12503,208421230,112053297463670,388,True,24c3a5d73ed1
50017,12505,208487530,"=""26080229890813010""",2,True,24c3a5d73ed1
50033,12509,208621528,73065726372968,596,True,24c3a5d73ed1
50041,,,,500000,False,24c3a5d73ed1
50057,12515,208821120,"=""26163755886011520""",2,True,24c3a5d73ed1
50065,12517,208887870,"=""26180485130994270""",2,True,24c3a5d73ed1
50081,12521,209021620,198892223273180,220,True,24c3a5d73ed1
50089,,,,500000,False,24c3a5d73ed1
50105,12527,209221780,"=""26264251726599260""",2,True,24c3a5d73ed1
50113,12529,209288596,"=""11945922449525372""",4,True,24c3a5d73ed1
50129,12533,209422280,"=""1585217550592120""",28,True,24c3a5d73ed1
50137,12535,209489100,"=""26331409601796900""",2,True,24c3a5d73ed1
50153,12539,209627002,10513423031306,4180,True,24c3a5d73ed1
50161,,,,500000,False,24c3a5d73ed1
50177,12545,209823490,"=""26415537963644570""",2,True,24c3a5d73ed1
50185,12547,209890400,"=""26432387797405600""",2,True,24c3a5d73ed1
50201,12551,210024254,"=""12030050863136614""",4,True,24c3a5d73ed1
50209,12553,210091200,"=""5757170961748800""",8,True,24c3a5d73ed1
50225,12557,210225110,"=""26516757914482150""",2,True,24c3a5d73ed1
50233,12559,210292146,694598533204482,64,True,24c3a5d73ed1
50249,12563,210426068,"=""7813963923798748""",6,True,24c3a5d73ed1
50257,12565,210493070,"=""26584399300321870""",2,True,24c3a5d73ed1
50273,12569,210631302,10589067445446,4190,True,24c3a5d73ed1
50281,12571,210694154,"=""12106916115608314""",4,True,24c3a5d73ed1
50297,12575,210828260,"=""26669132917948300""",2,True,24c3a5d73ed1
50305,12577,210895330,"=""26686103918590010""",2,True,24c3a5d73ed1
50321,12581,211029508,"=""5808711082021196""",8,True,24c3a5d73ed1
50329,,,,500000,False,24c3a5d73ed1
50345,12587,211230840,"=""26771080449032520""",2,True,24c3a5d73ed1
50353,,,,500000,False,24c3a5d73ed1
50369,12593,211432276,"=""12191892697987772""",4,True,24c3a5d73ed1
50377,12595,211499440,"=""26839207660688720""",2,True,24c3a5d73ed1
50393,12599,211633810,"=""5842026249468290""",8,True,24c3a5d73ed1
50401,,,,500000,False,24c3a5d73ed1
50417,12605,211835430,"=""26924549430135510""",2,True,24c3a5d73ed1
50425,12607,211902660,"=""26941642177142700""",2,True,24c3a5d73ed1
50441,12611,212041354,10695577937114,4204,True,24c3a5d73ed1
50449,,,,500000,False,24c3a5d73ed1
50465,12617,212238970,"=""27027228019757570""",2,True,24c3a5d73ed1
50473,12619,212306268,"=""7954226511003348""",6,True,24c3a5d73ed1
50489,12623,212440892,"=""4668737642085556""",10,True,24c3a5d73ed1
50497,12625,212508210,"=""27095843377934250""",2,True,24c3a5d73ed1
50513,12629,212642950,784110033334550,58,True,24c3a5d73ed1
50521,12631,212710256,"=""7984526788628368""",6,True,24c3a5d73ed1
50537,12635,212845000,"=""27181796202155000""",2,True,24c3a5d73ed1
50545,12637,212912390,"=""27199011276394870""",2,True,24c3a5d73ed1
50561,12641,213047278,584409349139966,78,True,24c3a5d73ed1
50569,12643,213114638,"=""2899011420706918""",16,True,24c3a5d73ed1
50585,12647,213249500,"=""27285209336900500""",2,True,24c3a5d73ed1
50593,,,,500000,False,24c3a5d73ed1
50609,12653,213451898,"=""8040302038277938""",6,True,24c3a5d73ed1
50617,12655,213519380,"=""27354315167831260""",2,True,24c3a5d73ed1
50633,12659,213654386,"=""12449507965537522""",4,True,24c3a5d73ed1
50641,12661,213721904,"=""12457377672474064""",4,True,24c3a5d73ed1
50657,12665,213856970,"=""27440881956691570""",2,True,24c3a5d73ed1
50665,12667,213924520,"=""27458219940413720""",2,True,24c3a5d73ed1
50681,12671,214059670,"=""2329908717491630""",20,True,24c3a5d73ed1
50689,12673,214127240,"=""5980496513266360""",8,True,24c3a5d73ed1
50705,12677,214262430,"=""27545033131440510""",2,True,24c3a5d73ed1
