n,x,y,z,steps,solved,run_id
17,5,30,510,2,True,4dea7238a2e7
25,7,60,2100,2,True,4dea7238a2e7
41,11,154,6314,4,True,4dea7238a2e7
49,14,99,9702,214,True,4dea7238a2e7
65,17,370,81770,2,True,4dea7238a2e7
73,20,210,30660,464,True,4dea7238a2e7
89,23,690,61410,8,True,4dea7238a2e7
97,25,810,392850,2,True,4dea7238a2e7
113,29,1102,124526,10,True,4dea7238a2e7
121,31,1254,427614,4,True,4dea7238a2e7
137,35,1600,1534400,2,True,4dea7238a2e7
145,37,1790,1920670,2,True,4dea7238a2e7
161,41,2208,633696,8,True,4dea7238a2e7
169,44,1066,304876,2426,True,4dea7238a2e7
185,47,2900,5043100,2,True,4dea7238a2e7
193,50,1380,1331700,3154,True,4dea7238a2e7
209,53,3696,3721872,4,True,4dea7238a2e7
217,55,3980,9500260,2,True,4dea7238a2e7
233,59,4602,1072266,20,True,4dea7238a2e7
241,62,2139,1030998,4905,True,4dea7238a2e7
257,65,5570,18609370,2,True,4dea7238a2e7
265,67,5920,21021920,2,True,4dea7238a2e7
281,71,6674,1875394,24,True,4dea7238a2e7
289,73,7038,8734158,6,True,4dea7238a2e7
305,77,7830,36777510,2,True,4dea7238a2e7
313,80,3580,4482160,8245,True,4dea7238a2e7
329,83,9118,5297558,16,True,4dea7238a2e7
337,85,9550,54711950,2,True,4dea7238a2e7
353,89,10502,3707206,30,True,4dea7238a2e7
361,92,4750,4151500,10956,True,4dea7238a2e7
377,95,11940,85526220,2,True,4dea7238a2e7
385,97,12450,92989050,2,True,4dea7238a2e7
401,101,13534,5427134,34,True,4dea7238a2e7
409,104,6084,4976712,14050,True,4dea7238a2e7
425,107,15160,137880200,2,True,4dea7238a2e7
433,110,6805,64824430,15733,True,4dea7238a2e7
449,113,16950,7610550,38,True,4dea7238a2e7
457,115,17520,184152720,2,True,4dea7238a2e7
473,119,18766,96025622,4,True,4dea7238a2e7
481,121,19404,102666564,4,True,4dea7238a2e7
497,125,20710,257321750,2,True,4dea7238a2e7
505,127,21380,274241260,2,True,4dea7238a2e7
521,131,22794,11875674,44,True,4dea7238a2e7
529,133,23460,71764140,8,True,4dea7238a2e7
545,137,24890,371682370,2,True,4dea7238a2e7
553,140,11061,122334660,25624,True,4dea7238a2e7
569,143,27126,200651022,4,True,4dea7238a2e7
577,145,27890,466683370,2,True,4dea7238a2e7
593,149,29502,17494686,50,True,4dea7238a2e7
601,152,13053,62758824,30253,True,4dea7238a2e7
617,155,31880,609768760,2,True,4dea7238a2e7
625,157,32710,641933750,2,True,4dea7238a2e7
641,161,34408,154388696,8,True,4dea7238a2e7
649,163,35266,339153122,4,True,4dea7238a2e7
665,167,37020,822251220,2,True,4dea7238a2e7
673,170,16345,374006290,37913,True,4dea7238a2e7
689,173,39750,89397750,18,True,4dea7238a2e7
697,175,40660,991900700,2,True,4dea7238a2e7
713,179,42550,236109950,8,True,4dea7238a2e7
721,182,18747,351431262,43502,True,4dea7238a2e7
737,185,45450,1239376050,2,True,4dea7238a2e7
745,187,46440,1293957720,2,True,4dea7238a2e7
761,191,48514,36919154,64,True,4dea7238a2e7
769,194,21340,16410460,49500,True,4dea7238a2e7
785,197,51550,1594389950,2,True,4dea7238a2e7
793,200,22659,276439800,52604,True,4dea7238a2e7
809,203,54752,310060576,10,True,4dea7238a2e7
817,205,55830,1870137510,2,True,4dea7238a2e7
833,209,58036,918535772,4,True,4dea7238a2e7
841,211,59160,362000040,10,True,4dea7238a2e7
857,215,61420,2263388420,2,True,4dea7238a2e7
865,217,62570,2348940370,2,True,4dea7238a2e7
881,221,64906,743368418,6,True,4dea7238a2e7
889,224,28449,809317152,66084,True,4dea7238a2e7
905,227,68480,2813637760,2,True,4dea7238a2e7
913,229,69696,1324711872,4,True,4dea7238a2e7
929,233,72230,67101670,78,True,4dea7238a2e7
937,235,73400,3232462600,2,True,4dea7238a2e7
953,239,76002,72429906,80,True,4dea7238a2e7
961,242,33232,124653232,77209,True,4dea7238a2e7
977,245,79790,3819786670,2,True,4dea7238a2e7
985,247,81100,3946244900,2,True,4dea7238a2e7
1001,251,83754,1913025114,4,True,4dea7238a2e7
1009,253,85096,1974822872,4,True,4dea7238a2e7
1025,257,87810,4626269850,2,True,4dea7238a2e7
1033,260,38370,1030541460,89184,True,4dea7238a2e7
1049,263,92050,96560450,88,True,4dea7238a2e7
1057,265,93370,5230680770,2,True,4dea7238a2e7
1073,269,96222,957697566,10,True,4dea7238a2e7
1081,271,97658,1243869946,8,True,4dea7238a2e7
1097,275,100560,6067287600,2,True,4dea7238a2e7
1105,277,102030,6245970510,2,True,4dea7238a2e7
1121,281,105020,560701780,20,True,4dea7238a2e7
1129,285,29260,99103620,152316,True,4dea7238a2e7
1145,287,109540,7199297420,2,True,4dea7238a2e7
1153,289,111078,2177239878,6,True,4dea7238a2e7
1169,293,114228,234281628,56,True,4dea7238a2e7
1177,295,115740,8037332820,2,True,4dea7238a2e7
