batch_k,candidates,survivors,survivor_n,is_prime
3094,2101514,83,80075169031729,False
3094,2101514,83,80090704334281,False
3094,2101514,83,80087589993889,False
3094,2101514,83,80093854533289,False
3094,2101514,83,80089129258009,False
3094,2101514,83,80080824566521,False
3094,2101514,83,80092243628329,False
3094,2101514,83,80073558314689,False
3094,2101514,83,80074596330481,False
3094,2101514,83,80075705941009,False
3094,2101514,83,80075992293361,False
3094,2101514,83,80072233959481,False
3094,2101514,83,80090525347561,False
3094,2101514,83,80092995381961,False
3094,2101514,83,80077603034881,False
3094,2101514,83,80083831387849,False
3094,2101514,83,80069585281921,False
3094,2101514,83,80073737282449,False
3094,2101514,83,80091384485641,False
3094,2101514,83,80082793312201,False
3094,2101514,83,80075813323081,False
3094,2101514,83,80086945655161,False
3094,2101514,83,80072663478889,False
3094,2101514,83,80084081958841,False
3094,2101514,83,80071410717169,False
3094,2101514,83,80075777529049,False
3094,2101514,83,80078676871561,False
3094,2101514,83,80077853596129,False
3094,2101514,83,80093210169361,False
3094,2101514,83,80091348688129,False
3094,2101514,83,80070945408169,False
3094,2101514,83,80083509225721,False
3094,2101514,83,80080287640081,False
3094,2101514,83,80086623486769,False
3094,2101514,83,80074166805889,False
3094,2101514,83,80069907416041,False
3094,2101514,83,80077280885281,False
3094,2101514,83,80085871763041,False
3094,2101514,83,80069263148449,False
3094,2101514,83,80082757516609,False
3094,2101514,83,80084833674169,False
3094,2101514,83,80071697061841,False
3094,2101514,83,80092100437561,False
3094,2101514,83,80076529205401,False
3094,2101514,83,80083115472889,False
3094,2101514,83,80092351021489,False
3094,2101514,83,80085979151929,False
3094,2101514,83,80070408514849,False
3094,2101514,83,80072484512329,False
3094,2101514,83,80084046162961,False
3094,2101514,83,80078712666241,False
3094,2101514,83,80081504675929,False
3094,2101514,83,80079428561521,False
3094,2101514,83,80077101913561,False
3094,2101514,83,80081254108969,False
3094,2101514,83,80089952591401,False
3094,2101514,83,80092530010249,False
3094,2101514,83,80082685925449,False
3094,2101514,83,80083187064241,False
3094,2101514,83,80085263227369,False
3094,2101514,83,80079034818721,False
3094,2101514,83,80085800170489,False
3094,2101514,83,80073343553641,False
3094,2101514,83,80094606294481,False
3094,2101514,83,80082578538769,False
3094,2101514,83,80076350234521,False
3094,2101514,83,80070838029361,False
3094,2101514,83,80082256379161,False
3094,2101514,83,80076421822849,False
3094,2101514,83,80073307760161,False
3094,2101514,83,80086337115409,False
3094,2101514,83,80093603947009,False
3094,2101514,83,80087840570761,False
3094,2101514,83,80070766443529,False
3094,2101514,83,80074202599561,False
3094,2101514,83,80084583102001,False
3094,2101514,83,80088556506841,False
3094,2101514,83,80074417361761,False
3094,2101514,83,80087303620801,False
3094,2101514,83,80081683652569,False
3094,2101514,83,80081075132809,False
3094,2101514,83,80077960979641,False
3094,2101514,83,80094570496249,False
3095,2101514,88,80103162301369,False
3095,2101514,88,80106312745369,False
3095,2101514,88,80101121705929,False
3095,2101514,88,80116695328849,False
3095,2101514,88,80119810235089,False
3095,2101514,88,80095895036161,False
3095,2101514,88,80117697820801,False
3095,2101514,88,80105739932761,False
3095,2101514,88,80095358059201,False
3095,2101514,88,80114117521201,False
3095,2101514,88,80102338900081,False
3095,2101514,88,80112327401401,False
3095,2101514,88,80096754203041,False
3095,2101514,88,80100906907921,False
3095,2101514,88,80118557104609,False
3095,2101514,88,80103377102401,False
3095,2101514,88,80102983300729,False
3095,2101514,88,80108568214921,False
3095,2101514,88,80113365668449,False
3095,2101514,88,80101479703249,False
3095,2101514,88,80113938508321,False
3095,2101514,88,80117053360969,False
3095,2101514,88,80104880717689,False
3095,2101514,88,80117339787241,False
3095,2101514,88,80102517900001,False
3095,2101514,88,80101766101681,False
3095,2101514,88,80120168274169,False
3095,2101514,88,80108997831769,False
3095,2101514,88,80112936039889,False
3095,2101514,88,80116265691361,False
3095,2101514,88,80118127462129,False
3095,2101514,88,80110036077241,False
3095,2101514,88,80106921361009,False
3095,2101514,88,80107279371289,False
3095,2101514,88,80114547152929,False
3095,2101514,88,80117769427609,False
3095,2101514,88,80105310324649,False
3095,2101514,88,80112184192681,False
3095,2101514,88,80118413890321,False
3095,2101514,88,80108031195481,False
3095,2101514,88,80101801901521,False
3095,2101514,88,80100405713689,False
3095,2101514,88,80104809116641,False
3095,2101514,88,80117124967489,False
3095,2101514,88,80098579947961,False
3095,2101514,88,80116086676081,False
3095,2101514,88,80099618125921,False
3095,2101514,88,80101551302809,False
3095,2101514,88,80107923791809,False
3095,2101514,88,80115191602681,False
3095,2101514,88,80118306479689,False
3095,2101514,88,80112399005809,False
3095,2101514,88,80109534854449,False
3095,2101514,88,80118628711801,False
3095,2101514,88,80119917646729,False
3095,2101514,88,80115764449081,False
3095,2101514,88,80095644446689,False
3095,2101514,88,80105525128561,False
3095,2101514,88,80119523804401,False
3095,2101514,88,80101372303969,False
3095,2101514,88,80110179284041,False
3095,2101514,88,80098758943681,False
3095,2101514,88,80104057307569,False
3095,2101514,88,80113401470881,False
3095,2101514,88,80116516313089,False
3095,2101514,88,80110608905209,False
3095,2101514,88,80098150359049,False
3095,2101514,88,80098866341209,False
3095,2101514,88,80116838541601,False
3095,2101514,88,80111647161121,False
3095,2101514,88,80098221957121,False
3095,2101514,88,80112291599209,False
3095,2101514,88,80109642259201,False
3095,2101514,88,80111253339121,False
3095,2101514,88,80106062139601,False
3095,2101514,88,80109176839129,False
3095,2101514,88,80114690363761,False
3095,2101514,88,80103269701849,False
3095,2101514,88,80111575557049,False
3095,2101514,88,80106384347089,False
3095,2101514,88,80118843533569,False
3095,2101514,88,80104128908281,False
3095,2101514,88,80100155117161,False
3095,2101514,88,80116587919369,False
3095,2101514,88,80096002431769,False
3095,2101514,88,80109105236161,False
3095,2101514,88,80099331731329,False
3095,2101514,88,80096217223201,False
3092,2101514,94,80042957768929,False
3092,2101514,94,80039844357001,False
3092,2101514,94,80034691256521,False
3092,2101514,94,80033617714801,False
3092,2101514,94,80026389388009,False
3092,2101514,94,80031578005369,False
3092,2101514,94,80034655471681,False
3092,2101514,94,80040882154249,False
3092,2101514,94,80021666103289,False
3092,2101514,94,80029967726809,False
3092,2101514,94,80020699994041,False
3092,2101514,94,80025888426961,False
3092,2101514,94,80018553105481,False
3092,2101514,94,80040345361729,False
3092,2101514,94,80041454734921,False
3092,2101514,94,80042492542609,False
3092,2101514,94,80028250114201,False
3092,2101514,94,80019304513201,False
3092,2101514,94,80024492900881,False
3092,2101514,94,80032401042889,False
3092,2101514,94,80034870180841,False
3092,2101514,94,80037589855129,False
3092,2101514,94,80036945717569,False
3092,2101514,94,80034011345929,False
3092,2101514,94,80021558757529,False
3092,2101514,94,80030898108001,False
3092,2101514,94,80023920380881,False
3092,2101514,94,80029108918201,False
3092,2101514,94,80035335385009,False
3092,2101514,94,80040238003441,False
3092,2101514,94,80023634121649,False
3092,2101514,94,80041526307649,False
3092,2101514,94,80022846911401,False
3092,2101514,94,80030933892001,False
3092,2101514,94,80034261838969,False
3092,2101514,94,80024242423129,False
3092,2101514,94,80020199050801,False
3092,2101514,94,80039915929009,False
3092,2101514,94,80025673729849,False
3092,2101514,94,80017730139169,False
3092,2101514,94,80039522283361,False
3092,2101514,94,80029824591721,False
3092,2101514,94,80024993857561,False
3092,2101514,94,80023956163321,False
3092,2101514,94,80040452720089,False
3092,2101514,94,80038233995281,False
3092,2101514,94,80026961916841,False
3092,2101514,94,80030075078209,False
3092,2101514,94,80026818784441,False
3092,2101514,94,80027999630569,False
3092,2101514,94,80024886509569,False
3092,2101514,94,80036158441849,False
3092,2101514,94,80032007415721,False
3092,2101514,94,80039736999049,False
3092,2101514,94,80038949709601,False
3092,2101514,94,80023383645241,False
3092,2101514,94,80032723102201,False
3092,2101514,94,80037911924881,False
3092,2101514,94,80021057811601,False
3092,2101514,94,80031685357849,False
3092,2101514,94,80028572165161,False
3092,2101514,94,80020914684481,False
3092,2101514,94,80021451411841,False
3092,2101514,94,80035442740009,False
3092,2101514,94,80033367222769,False
3092,2101514,94,80042707262281,False
3092,2101514,94,80027677580761,False
3092,2101514,94,80023419427561,False
3092,2101514,94,80036587864489,False
3092,2101514,94,80017909044529,False
3092,2101514,94,80039701213081,False
3092,2101514,94,80027570230969,False
3092,2101514,94,80030361348961,False
3092,2101514,94,80026604086081,False
3092,2101514,94,80033403007321,False
3092,2101514,94,80024063510689,False
3092,2101514,94,80036516293969,False
3092,2101514,94,80042170463641,False
3092,2101514,94,80019340294609,False
3092,2101514,94,80035943730961,False
3092,2101514,94,80018875136929,False
3092,2101514,94,80021988141001,False
3092,2101514,94,80027498664481,False
3092,2101514,94,80030611836289,False
3092,2101514,94,80031470652961,False
3092,2101514,94,80032508395921,False
3092,2101514,94,80025244336489,False
3092,2101514,94,80040595864681,False
3092,2101514,94,80018803574329,False
3092,2101514,94,80037482498689,False
3092,2101514,94,80035406955001,False
3092,2101514,94,80019841235161,False
3092,2101514,94,80028751082641,False
3092,2101514,94,80027713364041,False
3093,2101514,95,80055412022161,False
