n,x,y,z,steps,solved,run_id
2449,614,214830,2605135995,500430,True,b42d6f3b8aaa
2473,620,219040,16792263520,510265,True,b42d6f3b8aaa
2521,636,69748,131876031,1093777,True,b42d6f3b8aaa
2569,644,236349,55860613452,550624,True,b42d6f3b8aaa
2641,662,249774,5745925983,581911,True,b42d6f3b8aaa
2689,676,121186,8472598004,1027153,True,b42d6f3b8aaa
2713,680,263550,48620758200,614044,True,b42d6f3b8aaa
2833,710,287350,28899220525,669535,True,b42d6f3b8aaa
2881,722,297160,16266241240,692406,True,b42d6f3b8aaa
2953,740,312175,136434210700,727423,True,b42d6f3b8aaa
3001,752,322420,3870329680,751277,True,b42d6f3b8aaa
3049,765,212058,3232824210,1108253,True,b42d6f3b8aaa
3073,770,338031,114264618930,787714,True,b42d6f3b8aaa
3169,794,359682,569916129,837899,True,b42d6f3b8aaa
3241,812,375957,141343289892,876152,True,b42d6f3b8aaa
3313,830,392830,54010000285,915495,True,b42d6f3b8aaa
3409,854,415899,172971562302,969294,True,b42d6f3b8aaa
3433,860,421770,124522531260,982984,True,b42d6f3b8aaa
3529,884,445666,53473680676,1000004,True,b42d6f3b8aaa
3673,920,482740,81562784920,1000003,True,b42d6f3b8aaa
3721,932,495442,14083434292,1000018,True,b42d6f3b8aaa
3793,950,514765,370975692550,1000001,True,b42d6f3b8aaa
3889,975,344708,100542705900,1541129,True,b42d6f3b8aaa
4033,1010,581905,474058218730,1000001,True,b42d6f3b8aaa
4129,1034,609919,55403822122,1000007,True,b42d6f3b8aaa
4153,1040,617019,204998392560,1000002,True,b42d6f3b8aaa
4201,1053,402246,1689835446,1631446,True,b42d6f3b8aaa
4249,1064,645849,417120284952,1000002,True,b42d6f3b8aaa
4273,1070,653160,298631936760,1000002,True,b42d6f3b8aaa
4489,1126,339489,45491526,2182422,True,b42d6f3b8aaa
4513,1130,728530,185763857785,1000003,True,b42d6f3b8aaa
4561,1143,473964,6485249412,1744130,True,b42d6f3b8aaa
4681,1172,783742,69350194612,1000009,True,b42d6f3b8aaa
4729,1185,509550,2409661950,1799985,True,b42d6f3b8aaa
4801,1202,824572,3958770172,1000172,True,b42d6f3b8aaa
4849,1214,840957,380803830654,1000002,True,b42d6f3b8aaa
4921,1232,866097,750123147312,1000002,True,b42d6f3b8aaa
4993,1250,891610,278238045625,1000003,True,b42d6f3b8aaa
5089,1274,926199,857843661402,1000002,True,b42d6f3b8aaa
5113,1280,934950,611891116800,1000002,True,b42d6f3b8aaa
5161,1292,952575,488598579300,1000002,True,b42d6f3b8aaa
5209,1305,617990,28971989190,1970376,True,b42d6f3b8aaa
5281,1322,997449,10535056338,1000095,True,b42d6f3b8aaa
5329,1334,1015576,49449411016,1000021,True,b42d6f3b8aaa
5473,1370,1071145,1606291184290,1000001,True,b42d6f3b8aaa
5521,1382,1090398,3010043679,1000395,True,b42d6f3b8aaa
5569,1394,1109029,506446965082,1000003,True,b42d6f3b8aaa
5689,1424,1157356,26336793136,1000051,True,b42d6f3b8aaa
5809,1454,1206702,16229538549,1000090,True,b42d6f3b8aaa
5833,1460,1216600,518039229400,1000003,True,b42d6f3b8aaa
5881,1473,787564,13894991652,2000045,True,b42d6f3b8aaa
5953,1490,1267140,1123949378580,1000002,True,b42d6f3b8aaa
6073,1520,1318710,1217295926160,1000002,True,b42d6f3b8aaa
6121,1532,1339734,16401023628,1000110,True,b42d6f3b8aaa
6169,1544,1360714,209043770392,1000009,True,b42d6f3b8aaa
