n,x,y,z,steps,solved,run_id
50041,12512,89444718,"=""1647132353105184""",1000005,True,ddfc760d9ae1
50089,12524,89616381,"=""1813473142795236""",1000005,True,ddfc760d9ae1
50161,12542,89874195,548947448847030,1000015,True,ddfc760d9ae1
50329,12584,90477166,"=""2203954639205176""",1000004,True,ddfc760d9ae1
50353,12590,90563470,"=""2870609643890845""",1000003,True,ddfc760d9ae1
50401,12602,90736204,"=""2216592640583308""",1000004,True,ddfc760d9ae1
50449,12614,90909099,"=""8264464190082702""",1000002,True,ddfc760d9ae1
50593,12650,91428780,"=""5851455177173100""",1000002,True,ddfc760d9ae1
51121,12782,93346947,"=""8713652420873862""",1000002,True,ddfc760d9ae1
51193,12800,93610060,"=""3066995073011200""",1000003,True,ddfc760d9ae1
51361,12843,59976810,342274326490,2010508,True,ddfc760d9ae1
51481,12872,94667124,9747116421288,1000920,True,ddfc760d9ae1
51553,12890,94931170,"=""3154174368217945""",1000003,True,ddfc760d9ae1
51673,12920,95373595,"=""12734571577140040""",1000001,True,ddfc760d9ae1
51721,12932,95550888,261925336347144,1000035,True,ddfc760d9ae1
51769,12947,35306458,41555701066,4029972,True,ddfc760d9ae1
51889,12974,96172557,"=""4980317214552654""",1000002,True,ddfc760d9ae1
51913,12980,96261535,"=""12972796272517180""",1000001,True,ddfc760d9ae1
52009,13004,96619720,5025095017480,1001858,True,ddfc760d9ae1
52033,13010,96707050,"=""3273288635188825""",1000003,True,ddfc760d9ae1
52201,13052,97332495,"=""5101176985780980""",1000002,True,ddfc760d9ae1
52249,13065,62057580,217243915327140,2000018,True,ddfc760d9ae1
52273,13070,97601160,"=""6668190405740760""",1000002,True,ddfc760d9ae1
52321,13082,97780479,"=""2158940370422298""",1000005,True,ddfc760d9ae1
52369,13098,29823036,30715450588252,5000029,True,ddfc760d9ae1
52441,13112,98229550,147474380924200,1000066,True,ddfc760d9ae1
52609,13155,62915980,9929840375460,2000399,True,ddfc760d9ae1
52633,13160,98950041,"=""9791110514951640""",1000002,True,ddfc760d9ae1
52681,13172,99130603,772900295903164,1000013,True,ddfc760d9ae1
52729,13184,99311364,167570845195392,1000059,True,ddfc760d9ae1
52801,13202,99582687,"=""9916711450557282""",1000002,True,ddfc760d9ae1
52873,13220,99854440,"=""3489818115845320""",1000003,True,ddfc760d9ae1
53089,13277,37228708,10569170476,4130674,True,ddfc760d9ae1
53113,13280,100762950,"=""7107220364128800""",1000002,True,ddfc760d9ae1
53161,13292,100946094,10732790606268,1000950,True,ddfc760d9ae1
53233,13310,101218750,"=""3585832271828125""",1000003,True,ddfc760d9ae1
53353,13340,101675575,"=""14473091470537300""",1000001,True,ddfc760d9ae1
53401,13352,101859070,21757504788280,1000477,True,ddfc760d9ae1
53593,13400,102592315,"=""14735256233290600""",1000001,True,ddfc760d9ae1
53641,13412,102776157,"=""10562938344912492""",1000002,True,ddfc760d9ae1
53761,13442,103236484,"=""2869399950639508""",1000004,True,ddfc760d9ae1
53881,13476,31569776,5103033301968,5000196,True,ddfc760d9ae1
53929,13484,103882701,278750113716516,1000039,True,ddfc760d9ae1
54049,13515,66406590,190228118494230,2000024,True,ddfc760d9ae1
54121,13532,104623627,"=""4507218912226132""",1000003,True,ddfc760d9ae1
54313,13580,105367221,"=""11102251155895620""",1000002,True,ddfc760d9ae1
54361,13592,105553773,45904069232424,1000243,True,ddfc760d9ae1
54409,13604,105740016,"=""1029824326967376""",1000011,True,ddfc760d9ae1
54529,13634,106206922,"=""1161167128572469""",1000010,True,ddfc760d9ae1
54649,13664,106674849,"=""11379523302497952""",1000002,True,ddfc760d9ae1
54673,13670,106768560,"=""7979667676362960""",1000002,True,ddfc760d9ae1
54721,13683,68068364,11174306839332,2000415,True,ddfc760d9ae1
54793,13700,107237730,"=""8049951407649300""",1000002,True,ddfc760d9ae1
55153,13790,108651411,"=""11805129003639510""",1000002,True,ddfc760d9ae1
55201,13802,108840615,805086845674410,1000015,True,ddfc760d9ae1
55249,13814,109033902,3012007025799,1003947,True,ddfc760d9ae1
55273,13820,109124695,"=""16671478573255540""",1000001,True,ddfc760d9ae1
55321,13832,109314297,"=""11949615419289912""",1000002,True,ddfc760d9ae1
55489,13874,109979199,"=""12095424102702402""",1000002,True,ddfc760d9ae1
55513,13880,110074350,"=""8481453659471400""",1000002,True,ddfc760d9ae1
55609,13907,40705788,566095393716,4002927,True,ddfc760d9ae1
55633,13910,110550720,"=""8555023074212160""",1000002,True,ddfc760d9ae1
55681,13922,110742549,12332511741738,1000995,True,ddfc760d9ae1
55849,13964,111411774,12444472332252,1000998,True,ddfc760d9ae1
55969,13994,111890082,225865179733029,1000056,True,ddfc760d9ae1
55993,14000,111986001,"=""12540864307986000""",1000002,True,ddfc760d9ae1
56041,14012,112178088,710382661945704,1000018,True,ddfc760d9ae1
56113,14030,112466485,"=""17708194235090830""",1000001,True,ddfc760d9ae1
56329,14084,113333949,"=""12844583882600652""",1000002,True,ddfc760d9ae1
56473,14120,113914110,"=""9083497006050360""",1000002,True,ddfc760d9ae1
56569,14144,114301707,"=""7034935390451904""",1000002,True,ddfc760d9ae1
56809,14207,42478930,2413185534370,4000748,True,ddfc760d9ae1
56929,14234,115761240,72491887951560,1000185,True,ddfc760d9ae1
57073,14270,116347390,"=""4737850189586845""",1000003,True,ddfc760d9ae1
57169,14294,116739099,"=""13628017118592702""",1000002,True,ddfc760d9ae1
57193,14300,116837130,"=""9555640345808700""",1000002,True,ddfc760d9ae1
57361,14342,117524500,"=""2544317164100500""",1000006,True,ddfc760d9ae1
57529,14384,118213881,"=""3155537031062736""",1000005,True,ddfc760d9ae1
57553,14390,118312525,"=""19596994882313350""",1000001,True,ddfc760d9ae1
57601,14402,118509954,"=""1293582307537083""",1000011,True,ddfc760d9ae1
57793,14450,119301265,"=""19925908443539050""",1000001,True,ddfc760d9ae1
57841,14462,119499507,"=""14280132053743542""",1000002,True,ddfc760d9ae1
58009,14504,120194649,"=""14446753528038552""",1000002,True,ddfc760d9ae1
58081,14522,120493252,210851262168052,1000069,True,ddfc760d9ae1
58129,14534,120692416,"=""3921792762362176""",1000004,True,ddfc760d9ae1
58153,14540,120792090,"=""10213510183805580""",1000002,True,ddfc760d9ae1
58249,14564,121191214,"=""1658244595833892""",1000009,True,ddfc760d9ae1
58321,14583,77319066,4509325248186,2001326,True,ddfc760d9ae1
58369,14594,121692069,14206088750922,1001043,True,ddfc760d9ae1
58393,14600,121791115,"=""20766305848329400""",1000001,True,ddfc760d9ae1
58441,14612,121991415,"=""8013333519232860""",1000002,True,ddfc760d9ae1
58513,14630,122292171,"=""14955374965601070""",1000002,True,ddfc760d9ae1
58801,14703,78595556,"=""5226913433130636""",2000002,True,ddfc760d9ae1
58849,14714,123700599,"=""15301838069258202""",1000002,True,ddfc760d9ae1
58921,14735,45695340,3769381179396,4000554,True,ddfc760d9ae1
59113,14780,124812880,"=""5452389130050160""",1000003,True,ddfc760d9ae1
59161,14794,58348524,"=""1964163549139116""",3000002,True,ddfc760d9ae1
59281,14822,125527518,3720698397279,1004235,True,ddfc760d9ae1
59329,14835,80013254,891434463940590,2000008,True,ddfc760d9ae1
59473,14870,126337645,"=""22345680635466790""",1000001,True,ddfc760d9ae1
59641,14912,127052373,"=""5947165051606464""",1000003,True,ddfc760d9ae1
59689,14924,127256949,"=""16194330941531652""",1000002,True,ddfc760d9ae1
59713,14930,127359300,"=""11354273780183700""",1000002,True,ddfc760d9ae1
59761,14942,127564125,"=""8762172326982750""",1000002,True,ddfc760d9ae1
59809,14955,81313326,24316343573670,2000272,True,ddfc760d9ae1
59833,14960,127871670,"=""11445814664140560""",1000002,True,ddfc760d9ae1
59929,14986,59873082,227846504629803,3000016,True,ddfc760d9ae1
