n,x,y,z,steps,solved,run_id
7009,1755,1118258,319894474770,5851851,True,8d8ea32cd31f
7561,1895,754210,5702581810,9065561,True,8d8ea32cd31f
7753,1940,2148690,3231805952580,5011024,True,8d8ea32cd31f
7969,1994,2270034,693678124737,5294080,True,8d8ea32cd31f
7993,2000,2283715,7301493598000,5326003,True,8d8ea32cd31f
8113,2030,2352771,5535529025670,5487094,True,8d8ea32cd31f
8161,2042,2380972,19431112492,5552492,True,8d8ea32cd31f
8209,2054,2408757,3124210821654,5617694,True,8d8ea32cd31f
8281,2072,2451177,6008266234152,5716652,True,8d8ea32cd31f
8329,2084,2479960,20655586840,5783400,True,8d8ea32cd31f
8353,2090,2493970,2176957732345,5816475,True,8d8ea32cd31f
8473,2120,2566110,4609441806360,5984764,True,8d8ea32cd31f
8521,2132,2595255,3626723528220,6052752,True,8d8ea32cd31f
8593,2150,2639280,4876056603600,6155454,True,8d8ea32cd31f
8641,2162,2668848,530414858064,6224414,True,8d8ea32cd31f
8713,2180,2713480,2577038085160,6328545,True,8d8ea32cd31f
8761,2193,1746660,86714100140,9141931,True,8d8ea32cd31f
8953,2240,2864961,8207998666560,6681924,True,8d8ea32cd31f
9001,2252,2896072,26067544072,6754072,True,8d8ea32cd31f
9049,2264,2926786,105937946056,6826043,True,8d8ea32cd31f
9073,2270,2942245,12119524953790,6862213,True,8d8ea32cd31f
9121,2282,2973447,8841384088362,6935002,True,8d8ea32cd31f
9241,2312,3052180,958976642920,7118660,True,8d8ea32cd31f
9409,2354,3164140,361246699660,7379820,True,8d8ea32cd31f
9433,2360,3180270,7079878910760,7417484,True,8d8ea32cd31f
9481,2372,3212710,1901326755940,7493156,True,8d8ea32cd31f
9529,2384,3245307,5671083113904,7569204,True,8d8ea32cd31f
9601,2405,1216930,898749610,14616263,True,8d8ea32cd31f
9649,2414,3327529,4559240479582,7761015,True,8d8ea32cd31f
9769,2444,3410784,1566037598112,7955230,True,8d8ea32cd31f
9793,2450,3427551,11748102430050,7994354,True,8d8ea32cd31f
10009,2504,3580407,286690349304,8350887,True,8d8ea32cd31f
10033,2510,3597550,4529824503325,8390935,True,8d8ea32cd31f
10273,2570,3771660,9957789637260,8797114,True,8d8ea32cd31f
10369,2595,2446220,76094565540,12804806,True,8d8ea32cd31f
10609,2654,4022356,549779640436,9381922,True,8d8ea32cd31f
10633,2660,4040541,16325967532140,9424384,True,8d8ea32cd31f
10729,2684,4113840,485511282960,9595337,True,8d8ea32cd31f
10753,2690,4132225,23905392698650,9638273,True,8d8ea32cd31f
10801,2702,4169187,17382116071782,9724502,True,8d8ea32cd31f
10849,2714,4206315,6518501117610,9811115,True,8d8ea32cd31f
10921,2734,1990556,182313033484,16917454,True,8d8ea32cd31f
10969,2744,4299849,18488697122952,10029324,True,8d8ea32cd31f
10993,2750,4318680,13055693541000,10073254,True,8d8ea32cd31f
11113,2780,4413450,13634974218300,10294344,True,8d8ea32cd31f
11161,2792,4451844,99374061768,10383650,True,8d8ea32cd31f
11329,2834,4586634,2831927723937,10698360,True,8d8ea32cd31f
11401,2852,4645095,11618330194380,10834752,True,8d8ea32cd31f
11593,2900,4802815,32293839891100,11202703,True,8d8ea32cd31f
11689,2924,4882672,2454162779344,11388992,True,8d8ea32cd31f
11809,2954,4983399,24834260609802,11623994,True,8d8ea32cd31f
11881,2973,3211140,346864131660,16810513,True,8d8ea32cd31f
11929,2985,3237104,1459076071440,16946572,True,8d8ea32cd31f
11953,2990,5105640,18247286761080,11909174,True,8d8ea32cd31f
12073,3020,5208640,9495470518720,12149465,True,8d8ea32cd31f
12241,3062,5355438,32777958279,12490775,True,8d8ea32cd31f
12289,3075,3435390,211087538550,17984715,True,8d8ea32cd31f
12313,3080,5417721,29351695416120,12637244,True,8d8ea32cd31f
12433,3110,5523805,42717384825430,12884733,True,8d8ea32cd31f
12481,3122,5566527,30986217275202,12984402,True,8d8ea32cd31f
12553,3140,5630920,11097535385320,13134625,True,8d8ea32cd31f
12649,3164,5717349,32688073870452,13336264,True,8d8ea32cd31f
12721,,,,20000000,False,8d8ea32cd31f
12841,3212,5892195,3329113743780,13744161,True,8d8ea32cd31f
12913,3230,5958430,12426004864285,13898695,True,8d8ea32cd31f
12961,3242,6002802,4850675207937,14002208,True,8d8ea32cd31f
13009,3254,6047559,157345390062,14106325,True,8d8ea32cd31f
13033,3260,6069655,51576990476980,14158183,True,8d8ea32cd31f
13081,3272,6114492,635210115912,14262709,True,8d8ea32cd31f
13129,3284,6159382,6988570323604,14367508,True,8d8ea32cd31f
13201,3302,6227104,10439907987808,14525504,True,8d8ea32cd31f
13249,3314,6273402,41558151549,14632259,True,8d8ea32cd31f
13273,3320,6295195,55481265828040,14684363,True,8d8ea32cd31f
13441,3362,6455532,3557521030092,15058412,True,8d8ea32cd31f
13513,3380,6524850,29801560740900,15220144,True,8d8ea32cd31f
13633,3410,6641220,30874055520660,15491634,True,8d8ea32cd31f
13729,3434,6735060,9339029512740,15710557,True,8d8ea32cd31f
13873,3470,6877045,66211240227790,16041813,True,8d8ea32cd31f
13969,3494,6972544,2789456870272,16264590,True,8d8ea32cd31f
13993,3500,6996501,48951019246500,16320504,True,8d8ea32cd31f
14041,3512,7044573,18283259337864,16432653,True,8d8ea32cd31f
14089,3524,7092826,2412028966516,16545203,True,8d8ea32cd31f
14233,3560,7238500,18338551549000,16885085,True,8d8ea32cd31f
14281,3572,7287393,19565396773404,16999153,True,8d8ea32cd31f
14353,3590,7361040,37929429556080,17170974,True,8d8ea32cd31f
14401,,,,20000000,False,8d8ea32cd31f
14449,3614,7459816,14982376512376,17401416,True,8d8ea32cd31f
14521,3632,7534332,7641590750352,17575258,True,8d8ea32cd31f
14689,3674,7709722,622864585519,17984328,True,8d8ea32cd31f
14713,3680,7734835,83758733733280,18043043,True,8d8ea32cd31f
14833,3710,7861491,61803032881590,18338534,True,8d8ea32cd31f
14929,3734,7964622,59451920919,18577719,True,8d8ea32cd31f
14953,3740,7989175,89357676063700,18636423,True,8d8ea32cd31f
15073,3770,8117889,35484672860130,18936714,True,8d8ea32cd31f
15121,3782,8169669,7659081026838,19057509,True,8d8ea32cd31f
15241,,,,20000000,False,8d8ea32cd31f
15289,,,,20000000,False,8d8ea32cd31f
15313,3830,8378400,49138302213600,19544494,True,8d8ea32cd31f
15409,3854,8483761,12288269685406,19790298,True,8d8ea32cd31f
15553,,,,20000000,False,8d8ea32cd31f
15649,,,,20000000,False,8d8ea32cd31f
15673,,,,20000000,False,8d8ea32cd31f
15721,,,,20000000,False,8d8ea32cd31f
15769,,,,20000000,False,8d8ea32cd31f
16009,,,,20000000,False,8d8ea32cd31f
16033,,,,20000000,False,8d8ea32cd31f
16081,,,,20000000,False,8d8ea32cd31f
16129,,,,20000000,False,8d8ea32cd31f
16273,,,,20000000,False,8d8ea32cd31f
16369,,,,20000000,False,8d8ea32cd31f
16393,,,,20000000,False,8d8ea32cd31f
16513,,,,20000000,False,8d8ea32cd31f
16633,,,,20000000,False,8d8ea32cd31f
16681,,,,20000000,False,8d8ea32cd31f
16921,,,,20000000,False,8d8ea32cd31f
16993,,,,20000000,False,8d8ea32cd31f
17041,,,,20000000,False,8d8ea32cd31f
17209,,,,20000000,False,8d8ea32cd31f
17233,,,,20000000,False,8d8ea32cd31f
17329,,,,20000000,False,8d8ea32cd31f
17353,,,,20000000,False,8d8ea32cd31f
17401,,,,20000000,False,8d8ea32cd31f
17449,,,,20000000,False,8d8ea32cd31f
17521,,,,20000000,False,8d8ea32cd31f
17689,,,,20000000,False,8d8ea32cd31f
17713,,,,20000000,False,8d8ea32cd31f
17761,,,,20000000,False,8d8ea32cd31f
17929,,,,20000000,False,8d8ea32cd31f
17953,,,,20000000,False,8d8ea32cd31f
18049,,,,20000000,False,8d8ea32cd31f
18313,,,,20000000,False,8d8ea32cd31f
18361,,,,20000000,False,8d8ea32cd31f
18481,,,,20000000,False,8d8ea32cd31f
18553,,,,20000000,False,8d8ea32cd31f
18721,,,,20000000,False,8d8ea32cd31f
18793,,,,20000000,False,8d8ea32cd31f
18889,,,,20000000,False,8d8ea32cd31f
18913,,,,20000000,False,8d8ea32cd31f
19009,,,,20000000,False,8d8ea32cd31f
19033,,,,20000000,False,8d8ea32cd31f
19081,,,,20000000,False,8d8ea32cd31f
19201,,,,20000000,False,8d8ea32cd31f
19249,,,,20000000,False,8d8ea32cd31f
19273,,,,20000000,False,8d8ea32cd31f
19321,,,,20000000,False,8d8ea32cd31f
19441,,,,20000000,False,8d8ea32cd31f
19561,,,,20000000,False,8d8ea32cd31f
19609,,,,20000000,False,8d8ea32cd31f
19681,,,,20000000,False,8d8ea32cd31f
19729,,,,20000000,False,8d8ea32cd31f
19801,,,,20000000,False,8d8ea32cd31f
19969,,,,20000000,False,8d8ea32cd31f
19993,,,,20000000,False,8d8ea32cd31f
20041,,,,20000000,False,8d8ea32cd31f
20089,,,,20000000,False,8d8ea32cd31f
20209,,,,20000000,False,8d8ea32cd31f
20233,,,,20000000,False,8d8ea32cd31f
20353,,,,20000000,False,8d8ea32cd31f
20521,,,,20000000,False,8d8ea32cd31f
20569,,,,20000000,False,8d8ea32cd31f
20593,,,,20000000,False,8d8ea32cd31f
20641,,,,20000000,False,8d8ea32cd31f
20929,,,,20000000,False,8d8ea32cd31f
21049,,,,20000000,False,8d8ea32cd31f
21121,,,,20000000,False,8d8ea32cd31f
21169,,,,20000000,False,8d8ea32cd31f
21193,,,,20000000,False,8d8ea32cd31f
21289,,,,20000000,False,8d8ea32cd31f
21313,,,,20000000,False,8d8ea32cd31f
21529,,,,20000000,False,8d8ea32cd31f
21649,,,,20000000,False,8d8ea32cd31f
21673,,,,20000000,False,8d8ea32cd31f
21793,,,,20000000,False,8d8ea32cd31f
21841,,,,20000000,False,8d8ea32cd31f
22009,,,,20000000,False,8d8ea32cd31f
22249,,,,20000000,False,8d8ea32cd31f
22273,,,,20000000,False,8d8ea32cd31f
22441,,,,20000000,False,8d8ea32cd31f
22489,,,,20000000,False,8d8ea32cd31f
22633,,,,20000000,False,8d8ea32cd31f
22753,,,,20000000,False,8d8ea32cd31f
22801,,,,20000000,False,8d8ea32cd31f
22969,,,,20000000,False,8d8ea32cd31f
22993,,,,20000000,False,8d8ea32cd31f
23041,,,,20000000,False,8d8ea32cd31f
23209,,,,20000000,False,8d8ea32cd31f
23233,,,,20000000,False,8d8ea32cd31f
23281,,,,20000000,False,8d8ea32cd31f
23401,,,,20000000,False,8d8ea32cd31f
23473,,,,20000000,False,8d8ea32cd31f
23521,,,,20000000,False,8d8ea32cd31f
23689,,,,20000000,False,8d8ea32cd31f
23761,,,,20000000,False,8d8ea32cd31f
23929,,,,20000000,False,8d8ea32cd31f
24049,,,,20000000,False,8d8ea32cd31f
24073,,,,20000000,False,8d8ea32cd31f
24121,,,,20000000,False,8d8ea32cd31f
