n,x,y,z,steps,solved,run_id
2449,614,214830,2605135995,500430,True,05b0f630f0dc
2473,620,219040,16792263520,510265,True,05b0f630f0dc
2521,636,69748,131876031,1093777,True,05b0f630f0dc
2569,644,236349,55860613452,550624,True,05b0f630f0dc
2641,662,249774,5745925983,581911,True,05b0f630f0dc
2689,676,121186,8472598004,1027153,True,05b0f630f0dc
2713,680,263550,48620758200,614044,True,05b0f630f0dc
2833,710,287350,28899220525,669535,True,05b0f630f0dc
2881,722,297160,16266241240,692406,True,05b0f630f0dc
2953,740,312175,136434210700,727423,True,05b0f630f0dc
3001,752,322420,3870329680,751277,True,05b0f630f0dc
3049,765,212058,3232824210,1108253,True,05b0f630f0dc
3073,770,338031,114264618930,787714,True,05b0f630f0dc
3169,794,359682,569916129,837899,True,05b0f630f0dc
3241,812,375957,141343289892,876152,True,05b0f630f0dc
3313,830,392830,54010000285,915495,True,05b0f630f0dc
3409,854,415899,172971562302,969294,True,05b0f630f0dc
3433,860,421770,124522531260,982984,True,05b0f630f0dc
3529,884,445666,53473680676,1038706,True,05b0f630f0dc
3673,920,482740,81562784920,1125165,True,05b0f630f0dc
3721,932,495442,14083434292,1154768,True,05b0f630f0dc
3793,950,514765,370975692550,1199853,True,05b0f630f0dc
3889,975,344708,100542705900,1802461,True,05b0f630f0dc
4033,1010,581905,474058218730,1356433,True,05b0f630f0dc
4129,1034,609919,55403822122,1421759,True,05b0f630f0dc
4153,1040,617019,204998392560,1438324,True,05b0f630f0dc
4201,1053,402246,1689835446,2103196,True,05b0f630f0dc
4249,1064,645849,417120284952,1505564,True,05b0f630f0dc
4273,1070,653160,298631936760,1522614,True,05b0f630f0dc
4489,1126,339489,45491526,2862804,True,05b0f630f0dc
4513,1130,728530,185763857785,1698395,True,05b0f630f0dc
4561,1143,473964,6485249412,2478830,True,05b0f630f0dc
4681,1172,783742,69350194612,1827159,True,05b0f630f0dc
4729,1185,509550,2409661950,2664787,True,05b0f630f0dc
4801,1202,824572,3958770172,1922172,True,05b0f630f0dc
4849,1214,840957,380803830654,1960614,True,05b0f630f0dc
4921,1232,866097,750123147312,2019252,True,05b0f630f0dc
4993,1250,891610,278238045625,2078755,True,05b0f630f0dc
5089,1274,926199,857843661402,2159434,True,05b0f630f0dc
5113,1280,934950,611891116800,2179844,True,05b0f630f0dc
5161,1292,952575,488598579300,2220952,True,05b0f630f0dc
5209,1305,617990,28971989190,3232818,True,05b0f630f0dc
5281,1322,997449,10535056338,2325495,True,05b0f630f0dc
5329,1334,1015576,49449411016,2367873,True,05b0f630f0dc
5473,1370,1071145,1606291184290,2497513,True,05b0f630f0dc
5521,1382,1090398,3010043679,2541895,True,05b0f630f0dc
5569,1394,1109029,506446965082,2585875,True,05b0f630f0dc
5689,1424,1157356,26336793136,2698533,True,05b0f630f0dc
5809,1454,1206702,16229538549,2813582,True,05b0f630f0dc
5833,1460,1216600,518039229400,2836785,True,05b0f630f0dc
5881,1473,787564,13894991652,4120385,True,05b0f630f0dc
5953,1490,1267140,1123949378580,2954674,True,05b0f630f0dc
6073,1520,1318710,1217295926160,3074964,True,05b0f630f0dc
6121,1532,1339734,16401023628,3123860,True,05b0f630f0dc
6169,1544,1360714,209043770392,3172931,True,05b0f630f0dc
6241,1563,886854,12167341262,4640100,True,05b0f630f0dc
6361,1592,1446730,36810598120,3373507,True,05b0f630f0dc
6433,1610,1479591,2189188047690,3450234,True,05b0f630f0dc
6481,1622,1501972,9734280532,3502132,True,05b0f630f0dc
6649,1664,1580566,672587733376,3685766,True,05b0f630f0dc
6673,1670,1591990,887049664045,3712415,True,05b0f630f0dc
6769,1694,1638099,2683366695702,3819974,True,05b0f630f0dc
6793,1700,1649730,1905124701300,3847104,True,05b0f630f0dc
6913,1730,1708500,2043278866500,3984194,True,05b0f630f0dc
6961,1742,1732302,403961566437,4039708,True,05b0f630f0dc
7009,,,,5000000,False,05b0f630f0dc
7033,1760,1768299,1683703575840,4123684,True,05b0f630f0dc
7129,1784,1817004,25906843032,4237130,True,05b0f630f0dc
7201,1802,1853748,707488485444,4323005,True,05b0f630f0dc
7321,1832,1916043,112218806424,4468283,True,05b0f630f0dc
7369,1844,1941271,57220903996,4527088,True,05b0f630f0dc
7393,1850,1953865,5344621859650,4556553,True,05b0f630f0dc
7441,1862,1979307,3917654220942,4615902,True,05b0f630f0dc
7489,1874,2005180,15016793020,4675900,True,05b0f630f0dc
7561,,,,5000000,False,05b0f630f0dc
7753,,,,5000000,False,05b0f630f0dc
7969,,,,5000000,False,05b0f630f0dc
7993,,,,5000000,False,05b0f630f0dc
8113,,,,5000000,False,05b0f630f0dc
8161,,,,5000000,False,05b0f630f0dc
8209,,,,5000000,False,05b0f630f0dc
8281,,,,5000000,False,05b0f630f0dc
8329,,,,5000000,False,05b0f630f0dc
8353,,,,5000000,False,05b0f630f0dc
8473,,,,5000000,False,05b0f630f0dc
8521,,,,5000000,False,05b0f630f0dc
8593,,,,5000000,False,05b0f630f0dc
8641,,,,5000000,False,05b0f630f0dc
8713,,,,5000000,False,05b0f630f0dc
8761,,,,5000000,False,05b0f630f0dc
8953,,,,5000000,False,05b0f630f0dc
9001,,,,5000000,False,05b0f630f0dc
9049,,,,5000000,False,05b0f630f0dc
9073,,,,5000000,False,05b0f630f0dc
9121,,,,5000000,False,05b0f630f0dc
9241,,,,5000000,False,05b0f630f0dc
9409,,,,5000000,False,05b0f630f0dc
9433,,,,5000000,False,05b0f630f0dc
9481,,,,5000000,False,05b0f630f0dc
9529,,,,5000000,False,05b0f630f0dc
9601,,,,5000000,False,05b0f630f0dc
9649,,,,5000000,False,05b0f630f0dc
9769,,,,5000000,False,05b0f630f0dc
9793,,,,5000000,False,05b0f630f0dc
10009,,,,5000000,False,05b0f630f0dc
10033,,,,5000000,False,05b0f630f0dc
10273,,,,5000000,False,05b0f630f0dc
10369,,,,5000000,False,05b0f630f0dc
10609,,,,5000000,False,05b0f630f0dc
10633,,,,5000000,False,05b0f630f0dc
10729,,,,5000000,False,05b0f630f0dc
10753,,,,5000000,False,05b0f630f0dc
10801,,,,5000000,False,05b0f630f0dc
10849,,,,5000000,False,05b0f630f0dc
10921,,,,5000000,False,05b0f630f0dc
10969,,,,5000000,False,05b0f630f0dc
10993,,,,5000000,False,05b0f630f0dc
11113,,,,5000000,False,05b0f630f0dc
11161,,,,5000000,False,05b0f630f0dc
11329,,,,5000000,False,05b0f630f0dc
11401,,,,5000000,False,05b0f630f0dc
11593,,,,5000000,False,05b0f630f0dc
11689,,,,5000000,False,05b0f630f0dc
11809,,,,5000000,False,05b0f630f0dc
11881,,,,5000000,False,05b0f630f0dc
11929,,,,5000000,False,05b0f630f0dc
11953,,,,5000000,False,05b0f630f0dc
12073,,,,5000000,False,05b0f630f0dc
12241,,,,5000000,False,05b0f630f0dc
12289,,,,5000000,False,05b0f630f0dc
12313,,,,5000000,False,05b0f630f0dc
12433,,,,5000000,False,05b0f630f0dc
12481,,,,5000000,False,05b0f630f0dc
12553,,,,5000000,False,05b0f630f0dc
12649,,,,5000000,False,05b0f630f0dc
12721,,,,5000000,False,05b0f630f0dc
12841,,,,5000000,False,05b0f630f0dc
12913,,,,5000000,False,05b0f630f0dc
12961,,,,5000000,False,05b0f630f0dc
13009,,,,5000000,False,05b0f630f0dc
13033,,,,5000000,False,05b0f630f0dc
13081,,,,5000000,False,05b0f630f0dc
13129,,,,5000000,False,05b0f630f0dc
13201,,,,5000000,False,05b0f630f0dc
13249,,,,5000000,False,05b0f630f0dc
13273,,,,5000000,False,05b0f630f0dc
13441,,,,5000000,False,05b0f630f0dc
13513,,,,5000000,False,05b0f630f0dc
13633,,,,5000000,False,05b0f630f0dc
13729,,,,5000000,False,05b0f630f0dc
13873,,,,5000000,False,05b0f630f0dc
13969,,,,5000000,False,05b0f630f0dc
13993,,,,5000000,False,05b0f630f0dc
14041,,,,5000000,False,05b0f630f0dc
14089,,,,5000000,False,05b0f630f0dc
14233,,,,5000000,False,05b0f630f0dc
14281,,,,5000000,False,05b0f630f0dc
14353,,,,5000000,False,05b0f630f0dc
14401,,,,5000000,False,05b0f630f0dc
14449,,,,5000000,False,05b0f630f0dc
14521,,,,5000000,False,05b0f630f0dc
14689,,,,5000000,False,05b0f630f0dc
14713,,,,5000000,False,05b0f630f0dc
14833,,,,5000000,False,05b0f630f0dc
14929,,,,5000000,False,05b0f630f0dc
14953,,,,5000000,False,05b0f630f0dc
15073,,,,5000000,False,05b0f630f0dc
15121,,,,5000000,False,05b0f630f0dc
15241,,,,5000000,False,05b0f630f0dc
15289,,,,5000000,False,05b0f630f0dc
15313,,,,5000000,False,05b0f630f0dc
15409,,,,5000000,False,05b0f630f0dc
15553,,,,5000000,False,05b0f630f0dc
15649,,,,5000000,False,05b0f630f0dc
15673,,,,5000000,False,05b0f630f0dc
15721,,,,5000000,False,05b0f630f0dc
15769,,,,5000000,False,05b0f630f0dc
16009,,,,5000000,False,05b0f630f0dc
16033,,,,5000000,False,05b0f630f0dc
16081,,,,5000000,False,05b0f630f0dc
16129,,,,5000000,False,05b0f630f0dc
16273,,,,5000000,False,05b0f630f0dc
16369,,,,5000000,False,05b0f630f0dc
16393,,,,5000000,False,05b0f630f0dc
16513,,,,5000000,False,05b0f630f0dc
16633,,,,5000000,False,05b0f630f0dc
16681,,,,5000000,False,05b0f630f0dc
16921,,,,5000000,False,05b0f630f0dc
16993,,,,5000000,False,05b0f630f0dc
17041,,,,5000000,False,05b0f630f0dc
17209,,,,5000000,False,05b0f630f0dc
17233,,,,5000000,False,05b0f630f0dc
17329,,,,5000000,False,05b0f630f0dc
17353,,,,5000000,False,05b0f630f0dc
17401,,,,5000000,False,05b0f630f0dc
17449,,,,5000000,False,05b0f630f0dc
17521,,,,5000000,False,05b0f630f0dc
17689,,,,5000000,False,05b0f630f0dc
17713,,,,5000000,False,05b0f630f0dc
17761,,,,5000000,False,05b0f630f0dc
17929,,,,5000000,False,05b0f630f0dc
17953,,,,5000000,False,05b0f630f0dc
18049,,,,5000000,False,05b0f630f0dc
18313,,,,5000000,False,05b0f630f0dc
18361,,,,5000000,False,05b0f630f0dc
18481,,,,5000000,False,05b0f630f0dc
18553,,,,5000000,False,05b0f630f0dc
18721,,,,5000000,False,05b0f630f0dc
18793,,,,5000000,False,05b0f630f0dc
18889,,,,5000000,False,05b0f630f0dc
18913,,,,5000000,False,05b0f630f0dc
19009,,,,5000000,False,05b0f630f0dc
19033,,,,5000000,False,05b0f630f0dc
19081,,,,5000000,False,05b0f630f0dc
19201,,,,5000000,False,05b0f630f0dc
19249,,,,5000000,False,05b0f630f0dc
19273,,,,5000000,False,05b0f630f0dc
19321,,,,5000000,False,05b0f630f0dc
19441,,,,5000000,False,05b0f630f0dc
19561,,,,5000000,False,05b0f630f0dc
19609,,,,5000000,False,05b0f630f0dc
19681,,,,5000000,False,05b0f630f0dc
19729,,,,5000000,False,05b0f630f0dc
19801,,,,5000000,False,05b0f630f0dc
19969,,,,5000000,False,05b0f630f0dc
19993,,,,5000000,False,05b0f630f0dc
20041,,,,5000000,False,05b0f630f0dc
20089,,,,5000000,False,05b0f630f0dc
20209,,,,5000000,False,05b0f630f0dc
20233,,,,5000000,False,05b0f630f0dc
20353,,,,5000000,False,05b0f630f0dc
20521,,,,5000000,False,05b0f630f0dc
20569,,,,5000000,False,05b0f630f0dc
20593,,,,5000000,False,05b0f630f0dc
20641,,,,5000000,False,05b0f630f0dc
20929,,,,5000000,False,05b0f630f0dc
21049,,,,5000000,False,05b0f630f0dc
21121,,,,5000000,False,05b0f630f0dc
21169,,,,5000000,False,05b0f630f0dc
21193,,,,5000000,False,05b0f630f0dc
21289,,,,5000000,False,05b0f630f0dc
21313,,,,5000000,False,05b0f630f0dc
21529,,,,5000000,False,05b0f630f0dc
21649,,,,5000000,False,05b0f630f0dc
21673,,,,5000000,False,05b0f630f0dc
21793,,,,5000000,False,05b0f630f0dc
21841,,,,5000000,False,05b0f630f0dc
22009,,,,5000000,False,05b0f630f0dc
22249,,,,5000000,False,05b0f630f0dc
22273,,,,5000000,False,05b0f630f0dc
22441,,,,5000000,False,05b0f630f0dc
22489,,,,5000000,False,05b0f630f0dc
22633,,,,5000000,False,05b0f630f0dc
22753,,,,5000000,False,05b0f630f0dc
22801,,,,5000000,False,05b0f630f0dc
22969,,,,5000000,False,05b0f630f0dc
22993,,,,5000000,False,05b0f630f0dc
23041,,,,5000000,False,05b0f630f0dc
23209,,,,5000000,False,05b0f630f0dc
23233,,,,5000000,False,05b0f630f0dc
23281,,,,5000000,False,05b0f630f0dc
23401,,,,5000000,False,05b0f630f0dc
23473,,,,5000000,False,05b0f630f0dc
23521,,,,5000000,False,05b0f630f0dc
23689,,,,5000000,False,05b0f630f0dc
23761,,,,5000000,False,05b0f630f0dc
23929,,,,5000000,False,05b0f630f0dc
24049,,,,5000000,False,05b0f630f0dc
24073,,,,5000000,False,05b0f630f0dc
24121,,,,5000000,False,05b0f630f0dc
24169,,,,5000000,False,05b0f630f0dc
24481,,,,5000000,False,05b0f630f0dc
24529,,,,5000000,False,05b0f630f0dc
24553,,,,5000000,False,05b0f630f0dc
24601,,,,5000000,False,05b0f630f0dc
24649,,,,5000000,False,05b0f630f0dc
24793,,,,5000000,False,05b0f630f0dc
24841,,,,5000000,False,05b0f630f0dc
24889,,,,5000000,False,05b0f630f0dc
24913,,,,5000000,False,05b0f630f0dc
24961,,,,5000000,False,05b0f630f0dc
25081,,,,5000000,False,05b0f630f0dc
25129,,,,5000000,False,05b0f630f0dc
25153,,,,5000000,False,05b0f630f0dc
25321,,,,5000000,False,05b0f630f0dc
25393,,,,5000000,False,05b0f630f0dc
25441,,,,5000000,False,05b0f630f0dc
25513,,,,5000000,False,05b0f630f0dc
25609,,,,5000000,False,05b0f630f0dc
25681,,,,5000000,False,05b0f630f0dc
25801,,,,5000000,False,05b0f630f0dc
25873,,,,5000000,False,05b0f630f0dc
25969,,,,5000000,False,05b0f630f0dc
26113,,,,5000000,False,05b0f630f0dc
26161,,,,5000000,False,05b0f630f0dc
26209,,,,5000000,False,05b0f630f0dc
26233,,,,5000000,False,05b0f630f0dc
26569,,,,5000000,False,05b0f630f0dc
26641,,,,5000000,False,05b0f630f0dc
26689,,,,5000000,False,05b0f630f0dc
26713,,,,5000000,False,05b0f630f0dc
26761,,,,5000000,False,05b0f630f0dc
26833,,,,5000000,False,05b0f630f0dc
26929,,,,5000000,False,05b0f630f0dc
27001,,,,5000000,False,05b0f630f0dc
27073,,,,5000000,False,05b0f630f0dc
27121,,,,5000000,False,05b0f630f0dc
27241,,,,5000000,False,05b0f630f0dc
27361,,,,5000000,False,05b0f630f0dc
27433,,,,5000000,False,05b0f630f0dc
27481,,,,5000000,False,05b0f630f0dc
27529,,,,5000000,False,05b0f630f0dc
27601,,,,5000000,False,05b0f630f0dc
27649,,,,5000000,False,05b0f630f0dc
27793,,,,5000000,False,05b0f630f0dc
27913,,,,5000000,False,05b0f630f0dc
27961,,,,5000000,False,05b0f630f0dc
28273,,,,5000000,False,05b0f630f0dc
28321,,,,5000000,False,05b0f630f0dc
28393,,,,5000000,False,05b0f630f0dc
